sequenceID	source.name	serotype	genotype	major_lineage	minor_lineage	minor_sublineage	minor_subsublineage
FJ373302	ncbi-nuccore	3	3III	3III_C	3III_C1		
FJ373303	ncbi-nuccore	3	3III	3III_C	3III_C1		
FJ373304	ncbi-nuccore	3	3III	3III_C	3III_C1		
FJ373305	ncbi-nuccore	1	1I				
FJ373306	ncbi-nuccore	3	3III	3III_C	3III_C1		
FJ384655	ncbi-nuccore	1	1V				
FJ390371	ncbi-nuccore	3	3III	3III_C	3III_C1		
FJ390372	ncbi-nuccore	3	3III	3III_C			
FJ390373	ncbi-nuccore	3	3III	3III_C	3III_C1		
FJ390374	ncbi-nuccore	1	1V				
FJ390375	ncbi-nuccore	3	3III	3III_C	3III_C1		
FJ390376	ncbi-nuccore	3	3III	3III_C	3III_C1		
FJ390377	ncbi-nuccore	3	3III	3III_C	3III_C1		
FJ390378	ncbi-nuccore	1	1V				
FJ390379	ncbi-nuccore	1	1V				
FJ390380	ncbi-nuccore	1	1V				
FJ390381	ncbi-nuccore	1	1I				
FJ390382	ncbi-nuccore	1	1I				
FJ390383	ncbi-nuccore	1	1I				
FJ390384	ncbi-nuccore	2	2V	2V_A			
FJ390385	ncbi-nuccore	2	2V	2V_A			
FJ390386	ncbi-nuccore	1	1I	1I_E			
FJ390387	ncbi-nuccore	2	2V	2V_A			
FJ390388	ncbi-nuccore	1	1I	1I_E			
FJ390389	ncbi-nuccore	2					
FJ390390	ncbi-nuccore	2	2III	2III_D	2III_D1	2III_D1.3	
FJ390391	ncbi-nuccore	2	2III	2III_D	2III_D1	2III_D1.1	
FJ410173	ncbi-nuccore	1	1V				
FJ410174	ncbi-nuccore	1	1V				
FJ410175	ncbi-nuccore	1	1V				
FJ410176	ncbi-nuccore	3	3III	3III_C	3III_C1		
FJ410177	ncbi-nuccore	3	3III	3III_C	3III_C1		
FJ410178	ncbi-nuccore	3	3III	3III_C	3III_C1		
FJ410179	ncbi-nuccore	1	1V				
FJ410180	ncbi-nuccore	1	1V				
FJ410181	ncbi-nuccore	1	1V				
FJ410182	ncbi-nuccore	1	1V				
FJ410183	ncbi-nuccore	1	1V				
FJ410184	ncbi-nuccore	1	1V				
FJ410185	ncbi-nuccore	1	1V				
FJ410186	ncbi-nuccore	1	1V				
FJ410187	ncbi-nuccore	1	1V				
FJ410188	ncbi-nuccore	1	1V				
FJ410189	ncbi-nuccore	1	1V				
FJ410190	ncbi-nuccore	1	1V				
FJ410191	ncbi-nuccore	1	1I	1I_G	1I_K7		
FJ410192	ncbi-nuccore	1	1I	1I_E			
FJ410193	ncbi-nuccore	2	2V				
FJ410194	ncbi-nuccore	1	1I				
FJ410195	ncbi-nuccore	2	2V	2V_A			
FJ410196	ncbi-nuccore	1	1I				
FJ410197	ncbi-nuccore	1	1I				
FJ410198	ncbi-nuccore	1	1I				
FJ410199	ncbi-nuccore	1	1I	1I_G	1I_K7		
FJ410200	ncbi-nuccore	2	2V	2V_A			
FJ410201	ncbi-nuccore	1	1I	1I_K	1I_K7		
FJ410202	ncbi-nuccore	2	2V	2V_A			
FJ410203	ncbi-nuccore	1	1I	1I_K	1I_K7		
FJ410204	ncbi-nuccore	1	1I	1I_K	1I_K7		
FJ410205	ncbi-nuccore	1	1I	1I_E		1I_E1.2	
FJ410206	ncbi-nuccore	1	1I				
FJ410207	ncbi-nuccore	1	1I	1I_G			
FJ410208	ncbi-nuccore	2	2V	2V_A			
FJ410209	ncbi-nuccore	1	1I	1I_K	1I_K7		
FJ410210	ncbi-nuccore	1	1I				
FJ410211	ncbi-nuccore	1	1I	1I_K	1I_K7		
FJ410212	ncbi-nuccore	1	1I	1I_H	1I_H2		
FJ410213	ncbi-nuccore	1	1I	1I_C			
FJ410214	ncbi-nuccore	1	1I	1I_C			
FJ410215	ncbi-nuccore	2	2V	2V_A			
FJ410216	ncbi-nuccore	1	1I				
FJ410217	ncbi-nuccore	2	2V	2V_A			
FJ410218	ncbi-nuccore	1	1I	1I_C			
FJ410219	ncbi-nuccore	2	2V	2V_A			
FJ410220	ncbi-nuccore	1	1I	1I_H	1I_H2		
FJ410221	ncbi-nuccore	2	2V	2V_A			
FJ410222	ncbi-nuccore	1	1I	1I_E			
FJ410223	ncbi-nuccore	2	2V				
FJ410224	ncbi-nuccore	2	2V	2V_A			
FJ410225	ncbi-nuccore	1	1I				
FJ410226	ncbi-nuccore	1	1I	1I_G			
FJ410227	ncbi-nuccore	1	1I	1I_G	1I_K7		
FJ410228	ncbi-nuccore	2	2V	2V_A			
FJ410229	ncbi-nuccore	3	3II	3II_A	3II_A1		
FJ410230	ncbi-nuccore	1	1I	1I_E			
FJ410231	ncbi-nuccore	1	1I	1I_D			
FJ410232	ncbi-nuccore	1	1I	1I_K	1I_K7		
FJ410233	ncbi-nuccore	2	2V	2V_A			
FJ410234	ncbi-nuccore	1	1I	1I_K	1I_K7		
FJ410235	ncbi-nuccore	1	1I	1I_G	1I_K7		
FJ410236	ncbi-nuccore	1	1I	1I_E			
FJ410237	ncbi-nuccore	2	2V	2V_A			
FJ410238	ncbi-nuccore	1	1I				
FJ410239	ncbi-nuccore	1	1I	1I_E		1I_E1.2	
FJ410240	ncbi-nuccore	1	1I	1I_G			
FJ410241	ncbi-nuccore	2	2V	2V_A			
FJ410242	ncbi-nuccore	1	1I	1I_G	1I_K7		
FJ410243	ncbi-nuccore	1	1I	1I_G			
FJ410244	ncbi-nuccore	1	1I	1I_G	1I_K7		
FJ410245	ncbi-nuccore	1	1I				
FJ410246	ncbi-nuccore	1	1I	1I_G			
FJ410247	ncbi-nuccore	1	1I	1I_E			
FJ410248	ncbi-nuccore	1	1I		1I_K7		
FJ410249	ncbi-nuccore	1	1I	1I_G			
FJ410250	ncbi-nuccore	1	1I	1I_K	1I_K7		
FJ410251	ncbi-nuccore	1	1I	1I_C			
FJ410252	ncbi-nuccore	1	1I	1I_G	1I_K7		
FJ410253	ncbi-nuccore	1	1I				
FJ410254	ncbi-nuccore	1	1I	1I_G			
FJ410255	ncbi-nuccore	1	1I	1I_E			
FJ410256	ncbi-nuccore	1	1I	1I_G			
FJ410257	ncbi-nuccore	1	1I	1I_K	1I_K7		
FJ410258	ncbi-nuccore	1	1I				
FJ410259	ncbi-nuccore	2	2V				
FJ410260	ncbi-nuccore	1	1I	1I_C			
FJ410261	ncbi-nuccore	1	1I	1I_E			
FJ410262	ncbi-nuccore	1	1I	1I_G	1I_K7		
FJ410263	ncbi-nuccore	1	1I				
FJ410264	ncbi-nuccore	1	1I	1I_C			
FJ410265	ncbi-nuccore	1	1I				
FJ410266	ncbi-nuccore	1	1I	1I_C			
FJ410267	ncbi-nuccore	1	1I	1I_K	1I_K7		
FJ410268	ncbi-nuccore	1	1I		1I_K7		
FJ410269	ncbi-nuccore	1	1I	1I_C			
FJ410270	ncbi-nuccore	1	1I				
FJ410272	ncbi-nuccore	1	1I				
FJ410273	ncbi-nuccore	1	1I		1I_K7		
FJ410274	ncbi-nuccore	1	1I	1I_K	1I_K7		
FJ410275	ncbi-nuccore	1	1I				
FJ410276	ncbi-nuccore	1	1I	1I_E			
FJ410277	ncbi-nuccore	1	1I				
FJ410278	ncbi-nuccore	1	1I				
FJ410279	ncbi-nuccore	1	1I	1I_G			
FJ410280	ncbi-nuccore	1	1I	1I_K	1I_K7		
FJ410281	ncbi-nuccore	1	1I	1I_G			
FJ410282	ncbi-nuccore	1	1I				
FJ410283	ncbi-nuccore	1	1I	1I_E			
FJ410284	ncbi-nuccore	1	1I	1I_C			
FJ410285	ncbi-nuccore	1	1I				
FJ410286	ncbi-nuccore	1	1I	1I_H	1I_H2		
FJ410287	ncbi-nuccore	1	1I				
FJ410288	ncbi-nuccore	2	2V	2V_A			
FJ410289	ncbi-nuccore	1	1I	1I_E		1I_E1.2	
FJ410290	ncbi-nuccore	1	1V				
FJ410291	ncbi-nuccore	2	2III	2III_D	2III_D1	2III_D1.3	
FJ432719	ncbi-nuccore	1	1I	1I_E		1I_E1.2	
FJ432720	ncbi-nuccore	1	1V	1V_C			
FJ432721	ncbi-nuccore	1	1V				
FJ432722	ncbi-nuccore	3	3II	3II_A	3II_A1		
FJ432723	ncbi-nuccore	1	1I	1I_C			
FJ432724	ncbi-nuccore	2	2V	2V_A			
FJ432725	ncbi-nuccore	1	1I				
FJ432726	ncbi-nuccore	2	2V	2V_A			
FJ432727	ncbi-nuccore	1	1I				
FJ432728	ncbi-nuccore	3	3II	3II_A	3II_A1		
FJ432729	ncbi-nuccore	1	1I	1I_C			
FJ432730	ncbi-nuccore	1	1I	1I_G	1I_K7		
FJ432731	ncbi-nuccore	3	3II	3II_A	3II_A1		
FJ432732	ncbi-nuccore	1	1I				
FJ432733	ncbi-nuccore	1	1I	1I_C			
FJ432734	ncbi-nuccore	1	1I	1I_K	1I_K7		
FJ432735	ncbi-nuccore	1	1I	1I_G			
FJ432736	ncbi-nuccore	1	1I	1I_K	1I_K7		
FJ432737	ncbi-nuccore	1	1I				
FJ432738	ncbi-nuccore	1	1I				
FJ432739	ncbi-nuccore	1	1I	1I_G	1I_K7		
FJ432740	ncbi-nuccore	1	1I				
FJ432741	ncbi-nuccore	3	3II	3II_A	3II_A1		
FJ432742	ncbi-nuccore	1	1I	1I_C			
FJ432743	ncbi-nuccore	3	3II	3II_A	3II_A1		
FJ432744	ncbi-nuccore	1	1I	1I_G			
FJ432745	ncbi-nuccore	1	1I				
FJ432746	ncbi-nuccore	1	1I	1I_G			
FJ432747	ncbi-nuccore	1	1I	1I_K	1I_K7		
FJ432748	ncbi-nuccore	1	1I				
FJ432749	ncbi-nuccore	1	1I	1I_C			
FJ461303	ncbi-nuccore	1	1I	1I_E		1I_E1.2	
FJ461305	ncbi-nuccore	2	2V	2V_A			
FJ461306	ncbi-nuccore	1	1I				
FJ461307	ncbi-nuccore	1	1I	1I_H	1I_H2		
FJ461308	ncbi-nuccore	1	1I	1I_G	1I_K7		
FJ461309	ncbi-nuccore	2	2V				
FJ461310	ncbi-nuccore	1	1I				
FJ461311	ncbi-nuccore	2	2V	2V_A			
FJ461312	ncbi-nuccore	1	1I	1I_G			
FJ461313	ncbi-nuccore	1	1I	1I_K	1I_K7		
FJ461314	ncbi-nuccore	2	2V	2V_A			
FJ461315	ncbi-nuccore	1	1I	1I_E		1I_E1.2	
FJ461316	ncbi-nuccore	1	1I				
FJ461317	ncbi-nuccore	1	1I	1I_K	1I_K7		
FJ461318	ncbi-nuccore	1	1I	1I_D			
FJ461319	ncbi-nuccore	1	1I				
FJ461320	ncbi-nuccore	1	1I	1I_C			
FJ461321	ncbi-nuccore	2	2V	2V_A			
FJ461322	ncbi-nuccore	3	3II	3II_A	3II_A1		
FJ461323	ncbi-nuccore	1	1I	1I_K	1I_K7		
FJ461324	ncbi-nuccore	1	1I	1I_K	1I_K7		
FJ461325	ncbi-nuccore	1	1I				
FJ461326	ncbi-nuccore	3	3II	3II_A	3II_A1		
FJ461327	ncbi-nuccore	1	1I				
FJ461328	ncbi-nuccore	1	1I	1I_H	1I_H2		
FJ461329	ncbi-nuccore	3	3II	3II_A	3II_A1		
FJ461330	ncbi-nuccore	1	1I	1I_E			
FJ461331	ncbi-nuccore	1	1I	1I_K	1I_K7		
FJ461332	ncbi-nuccore	1	1I	1I_K	1I_K7		
FJ461333	ncbi-nuccore	1	1I				
FJ461334	ncbi-nuccore	3	3II	3II_A	3II_A1		
FJ461335	ncbi-nuccore	1	1I	1I_C			
FJ461336	ncbi-nuccore	1	1I				
FJ461337	ncbi-nuccore	3	3II	3II_A	3II_A1		
FJ461338	ncbi-nuccore	3	3II	3II_A	3II_A1		
FJ461339	ncbi-nuccore	1	1I				
FJ461340	ncbi-nuccore	1	1I	1I_E			
FJ461341	ncbi-nuccore	1	1I				
FJ467493	ncbi-nuccore	2	2VI				
FJ469907	ncbi-nuccore	1	1I				
FJ469908	ncbi-nuccore	1	1I				
FJ469909	ncbi-nuccore	1	1I				
FJ478455	ncbi-nuccore	2	2III	2III_D	2III_D1	2III_D1.1	
FJ478456	ncbi-nuccore	3	3III	3III_C	3III_C1		
FJ478457	ncbi-nuccore	1	1V				
FJ478458	ncbi-nuccore	1	1V				
FJ478459	ncbi-nuccore	2	2III	2III_D	2III_D1	2III_D1.1	
FJ547060	ncbi-nuccore	1	1I	1I_C			
FJ547061	ncbi-nuccore	3	3II	3II_A	3II_A1		
FJ547062	ncbi-nuccore	3	3II	3II_A	3II_A1		
FJ547063	ncbi-nuccore	1	1I	1I_E			
FJ547064	ncbi-nuccore	2	2V	2V_A			
FJ547065	ncbi-nuccore	1	1I				
FJ547066	ncbi-nuccore	3	3II	3II_A	3II_A1		
FJ547067	ncbi-nuccore	2	2V				
FJ547068	ncbi-nuccore	1	1V				
FJ547069	ncbi-nuccore	3	3III	3III_C	3III_C1		
FJ547070	ncbi-nuccore	3	3III	3III_C	3III_C1		
FJ547071	ncbi-nuccore	3	3III	3III_C	3III_C1		
FJ547072	ncbi-nuccore	3	3III	3III_C	3III_C1		
FJ547073	ncbi-nuccore	3	3III	3III_C	3III_C1		
FJ547074	ncbi-nuccore	3	3III	3III_C	3III_C1		
FJ547075	ncbi-nuccore	3	3III	3III_C	3III_C1		
FJ547076	ncbi-nuccore	3	3III	3III_C	3III_C1		
FJ547077	ncbi-nuccore	3	3III	3III_C	3III_C1		
FJ547078	ncbi-nuccore	3	3III	3III_C	3III_C1		
FJ547079	ncbi-nuccore	3	3III	3III_C	3III_C1		
FJ547080	ncbi-nuccore	3	3III	3III_C	3III_C1		
FJ547081	ncbi-nuccore	3	3III	3III_C	3III_C1		
FJ547082	ncbi-nuccore	3	3III	3III_C	3III_C1		
FJ547083	ncbi-nuccore	3	3III	3III_C			
FJ547084	ncbi-nuccore	3	3III	3III_C	3III_C1		
FJ547085	ncbi-nuccore	3	3III	3III_C	3III_C1		
FJ547086	ncbi-nuccore	1	1V				
FJ547087	ncbi-nuccore	1	1V				
FJ547088	ncbi-nuccore	1	1V	1V_C			
FJ547089	ncbi-nuccore	1	1V				
FJ547090	ncbi-nuccore	2	2III	2III_D	2III_D1	2III_D1.1	
FJ562097	ncbi-nuccore	3	3II	3II_A	3II_A1		
FJ562098	ncbi-nuccore	2	2V	2V_A			
FJ562099	ncbi-nuccore	3	3II	3II_A	3II_A1		
FJ562100	ncbi-nuccore	3	3II	3II_A	3II_A1		
FJ562101	ncbi-nuccore	1	1I				
FJ562102	ncbi-nuccore	3	3II	3II_A	3II_A1		
FJ562103	ncbi-nuccore	3	3II	3II_A	3II_A1		
FJ562104	ncbi-nuccore	1	1V	1V_C			
FJ562105	ncbi-nuccore	1	1V				
FJ562106	ncbi-nuccore	1	1V				
FJ562107	ncbi-nuccore	3	3III	3III_C	3III_C1		
FJ639669	ncbi-nuccore	1	1I	1I_K	1I_K7		
FJ639670	ncbi-nuccore	1	1I	1I_K	1I_K7		
FJ639671	ncbi-nuccore	1	1I	1I_D			
FJ639672	ncbi-nuccore	1	1I	1I_K	1I_K7		
FJ639673	ncbi-nuccore	1	1I	1I_D			
FJ639674	ncbi-nuccore	1	1I				
FJ639675	ncbi-nuccore	1	1I				
FJ639676	ncbi-nuccore	1	1I	1I_D			
FJ639677	ncbi-nuccore	1	1I	1I_K	1I_K7		
FJ639678	ncbi-nuccore	1	1I	1I_D			
FJ639679	ncbi-nuccore	1	1I	1I_E			
FJ639680	ncbi-nuccore	1	1I	1I_K	1I_K7		
FJ639681	ncbi-nuccore	1	1I	1I_K	1I_K7		
FJ639682	ncbi-nuccore	1	1I	1I_K	1I_K7		
FJ639683	ncbi-nuccore	1	1I	1I_E			
FJ639684	ncbi-nuccore	1	1I	1I_G			
FJ639685	ncbi-nuccore	1	1I	1I_E			
FJ639686	ncbi-nuccore	1	1I	1I_E			
FJ639687	ncbi-nuccore	1	1I	1I_G			
FJ639688	ncbi-nuccore	1	1I				
FJ639689	ncbi-nuccore	1	1I				
FJ639690	ncbi-nuccore	1	1I				
FJ639691	ncbi-nuccore	1	1I	1I_G			
FJ639692	ncbi-nuccore	1	1I	1I_E			
FJ639693	ncbi-nuccore	1	1I	1I_G	1I_K7		
FJ639694	ncbi-nuccore	1	1I	1I_E			
FJ639695	ncbi-nuccore	1	1I				
FJ639696	ncbi-nuccore	1	1I	1I_G			
FJ639697	ncbi-nuccore	2	2III	2III_A			
FJ639698	ncbi-nuccore	2	2III	2III_A			
FJ639699	ncbi-nuccore	2	2III	2III_A			
FJ639700	ncbi-nuccore	2	2III	2III_A			
FJ639701	ncbi-nuccore	2	2III	2III_A			
FJ639702	ncbi-nuccore	2	2III	2III_A			
FJ639703	ncbi-nuccore	2	2III	2III_A			
FJ639704	ncbi-nuccore	2	2V	2V_A			
FJ639705	ncbi-nuccore	2	2V	2V_A			
FJ639706	ncbi-nuccore	2	2V	2V_A			
FJ639707	ncbi-nuccore	2	2V	2V_A			
FJ639708	ncbi-nuccore	2	2V	2V_A			
FJ639709	ncbi-nuccore	2	2V	2V_A			
FJ639710	ncbi-nuccore	2	2V				
FJ639711	ncbi-nuccore	2	2V				
FJ639712	ncbi-nuccore	3	3II	3II_A			
FJ639713	ncbi-nuccore	3	3II	3II_A	3II_A2		
FJ639714	ncbi-nuccore	3	3II	3II_A			
FJ639715	ncbi-nuccore	3	3II	3II_A	3II_A2		
FJ639716	ncbi-nuccore	3	3II	3II_A	3II_A2		
FJ639717	ncbi-nuccore	2	2V	2V_A			
FJ639718	ncbi-nuccore	2	2V	2V_A	2V_A1		
FJ639719	ncbi-nuccore	3	3II	3II_A			
FJ639720	ncbi-nuccore	3	3II	3II_A			
FJ639721	ncbi-nuccore	3	3II	3II_A			
FJ639722	ncbi-nuccore	3	3II	3II_A			
FJ639723	ncbi-nuccore	3	3II	3II_A			
FJ639724	ncbi-nuccore	3	3II	3II_A	3II_A2		
FJ639725	ncbi-nuccore	3	3II	3II_A	3II_A2		
FJ639726	ncbi-nuccore	3	3II	3II_A			
FJ639727	ncbi-nuccore	3	3II	3II_A			
FJ639728	ncbi-nuccore	3	3II	3II_A	3II_A2		
FJ639729	ncbi-nuccore	3	3II	3II_A	3II_A2		
FJ639730	ncbi-nuccore	3	3II	3II_A	3II_A2		
FJ639731	ncbi-nuccore	3	3II	3II_A	3II_A2		
FJ639732	ncbi-nuccore	2	2III	2III_D			
FJ639733	ncbi-nuccore	2	2III	2III_D			
FJ639734	ncbi-nuccore	2	2III	2III_D	2III_D2		
FJ639735	ncbi-nuccore	1	1V	1V_B	1V_D1		
FJ639736	ncbi-nuccore	4	4II	4II_B	4II_B1		
FJ639737	ncbi-nuccore	4	4II	4II_B	4II_B1		
FJ639738	ncbi-nuccore	4	4II	4II_B	4II_B1		
FJ639739	ncbi-nuccore	4	4II	4II_B	4II_B1		
FJ639740	ncbi-nuccore	1	1V				
FJ639741	ncbi-nuccore	1	1V				
FJ639742	ncbi-nuccore	4	4II	4II_B	4II_B1		
FJ639743	ncbi-nuccore	1	1V				
FJ639744	ncbi-nuccore	4	4II	4II_B	4II_B1		
FJ639745	ncbi-nuccore	4	4II	4II_B	4II_B1		
FJ639746	ncbi-nuccore	3	3III	3III_C	3III_C1		
FJ639747	ncbi-nuccore	3	3III	3III_C	3III_C1		
FJ639748	ncbi-nuccore	4	4II	4II_B	4II_B1		
FJ639749	ncbi-nuccore	3	3III	3III_C	3III_C1		
FJ639750	ncbi-nuccore	3	3III	3III_C	3III_C1		
FJ639751	ncbi-nuccore	3	3III	3III_C	3III_C1		
FJ639752	ncbi-nuccore	3	3III	3III_C	3III_C1		
FJ639753	ncbi-nuccore	3	3III	3III_C	3III_C1		
FJ639754	ncbi-nuccore	3	3III	3III_C	3III_C1		
FJ639755	ncbi-nuccore	3	3III	3III_C	3III_C1		
FJ639756	ncbi-nuccore	3	3III	3III_C	3III_C1		
FJ639757	ncbi-nuccore	3	3III	3III_C	3III_C1		
FJ639758	ncbi-nuccore	3	3III	3III_C	3III_C1		
FJ639759	ncbi-nuccore	3	3III	3III_C	3III_C1		
FJ639760	ncbi-nuccore	3	3III	3III_C	3III_C1		
FJ639761	ncbi-nuccore	3	3III	3III_C	3III_C1		
FJ639762	ncbi-nuccore	3	3III	3III_C	3III_C1		
FJ639763	ncbi-nuccore	3	3III	3III_C	3III_C1		
FJ639764	ncbi-nuccore	4	4II	4II_B	4II_B1		
FJ639765	ncbi-nuccore	3	3III	3III_C	3III_C1		
FJ639766	ncbi-nuccore	3	3III	3III_C	3III_C1		
FJ639767	ncbi-nuccore	3	3III	3III_C	3III_C1		
FJ639768	ncbi-nuccore	3	3III	3III_C	3III_C1		
FJ639769	ncbi-nuccore	3	3III	3III_C	3III_C1		
FJ639770	ncbi-nuccore	3	3III	3III_C	3III_C1		
FJ639771	ncbi-nuccore	3	3III	3III_C	3III_C1		
FJ639772	ncbi-nuccore	3	3III	3III_C	3III_C1		
FJ639773	ncbi-nuccore	4	4II	4II_B	4II_B1	4II_B1.1	
FJ639774	ncbi-nuccore	3	3III	3III_C	3III_C1		
FJ639775	ncbi-nuccore	3	3III	3III_C	3III_C1		
FJ639776	ncbi-nuccore	3	3III	3III_C	3III_C1		
FJ639777	ncbi-nuccore	3	3III	3III_C	3III_C1		
FJ639778	ncbi-nuccore	3	3III	3III_C	3III_C1		
FJ639779	ncbi-nuccore	3	3III	3III_C	3III_C1		
FJ639780	ncbi-nuccore	3	3III	3III_C	3III_C1		
FJ639781	ncbi-nuccore	3	3III	3III_C	3III_C1		
FJ639782	ncbi-nuccore	3	3III	3III_C	3III_C1		
FJ639783	ncbi-nuccore	2	2III	2III_D	2III_D3		
FJ639784	ncbi-nuccore	3	3III	3III_C	3III_C1		
FJ639785	ncbi-nuccore	3	3III	3III_C	3III_C1		
FJ639786	ncbi-nuccore	3	3III	3III_C	3III_C1		
FJ639787	ncbi-nuccore	3	3III	3III_C	3III_C1		
FJ639788	ncbi-nuccore	2	2III	2III_D	2III_D3		
FJ639789	ncbi-nuccore	3	3III	3III_C	3III_C1		
FJ639790	ncbi-nuccore	3	3III	3III_C	3III_C1		
FJ639791	ncbi-nuccore	3	3III	3III_C	3III_C1		
FJ639792	ncbi-nuccore	3	3III	3III_C	3III_C1		
FJ639793	ncbi-nuccore	3	3III	3III_C	3III_C1		
FJ639794	ncbi-nuccore	1	1V	1V_F			
FJ639795	ncbi-nuccore	3	3III	3III_C	3III_C1		
FJ639796	ncbi-nuccore	1	1V	1V_F			
FJ639797	ncbi-nuccore	1	1V	1V_F			
FJ639798	ncbi-nuccore	3	3III	3III_C	3III_C1		
FJ639799	ncbi-nuccore	3	3III	3III_C	3III_C1		
FJ639800	ncbi-nuccore	3	3III	3III_C	3III_C1		
FJ639801	ncbi-nuccore	3	3III	3III_C	3III_C1		
FJ639802	ncbi-nuccore	1	1V	1V_F			
FJ639803	ncbi-nuccore	3	3III	3III_C	3III_C1		
FJ639804	ncbi-nuccore	3	3III	3III_C	3III_C1		
FJ639805	ncbi-nuccore	3	3III	3III_C	3III_C1		
FJ639806	ncbi-nuccore	1	1V	1V_F			
FJ639807	ncbi-nuccore	3	3III	3III_C	3III_C1		
FJ639808	ncbi-nuccore	1	1V	1V_F			
FJ639809	ncbi-nuccore	2	2III	2III_D			
FJ639810	ncbi-nuccore	3	3III	3III_C	3III_C1		
FJ639811	ncbi-nuccore	1	1V	1V_E			
FJ639812	ncbi-nuccore	1	1V	1V_F			
FJ639813	ncbi-nuccore	1	1V	1V_F			
FJ639814	ncbi-nuccore	1	1V	1V_E			
FJ639815	ncbi-nuccore	1	1V				
FJ639816	ncbi-nuccore	3	3III	3III_C	3III_C1		
FJ639817	ncbi-nuccore	3	3III	3III_C	3III_C1		
FJ639818	ncbi-nuccore	1	1V	1V_F			
FJ639819	ncbi-nuccore	1	1V	1V_E			
FJ639820	ncbi-nuccore	1	1V	1V_F			
FJ639821	ncbi-nuccore	1	1V	1V_E			
FJ639822	ncbi-nuccore	2	2III	2III_D	2III_D3		
FJ639823	ncbi-nuccore	1	1V	1V_F			
FJ639824	ncbi-nuccore	1	1V	1V_F			
FJ639825	ncbi-nuccore	3	3III	3III_C	3III_C1		
FJ639826	ncbi-nuccore	3	3III	3III_C	3III_C1		
FJ639827	ncbi-nuccore	3	3III	3III_C	3III_C1		
FJ639828	ncbi-nuccore	2	2V	2V_E			
FJ639829	ncbi-nuccore	2	2V	2V_E			
FJ639830	ncbi-nuccore	2	2V	2V_E			
FJ639831	ncbi-nuccore	2	2V	2V_D			
FJ639832	ncbi-nuccore	2	2V	2V_A			
FJ639833	ncbi-nuccore	2	2III	2III_D	2III_D1	2III_D1.1	
FJ639834	ncbi-nuccore	2	2III	2III_D	2III_D1	2III_D1.1	
FJ639835	ncbi-nuccore	2	2III	2III_D	2III_D1	2III_D1.1	
FJ639836	ncbi-nuccore	2	2III	2III_D	2III_D1	2III_D1.1	
FJ639837	ncbi-nuccore	2	2III	2III_D	2III_D1	2III_D1.1	
FJ644564	ncbi-nuccore	3	3III	3III_B			
FJ687426	ncbi-nuccore	1	1I	1I_H	1I_H3		
FJ687427	ncbi-nuccore	1	1I	1I_H	1I_H3		
FJ687428	ncbi-nuccore	1	1I	1I_H	1I_H3		
FJ687429	ncbi-nuccore	1	1I	1I_H	1I_H3		
FJ687430	ncbi-nuccore	1	1I	1I_J			
FJ687431	ncbi-nuccore	1	1I	1I_H	1I_H3		
FJ687432	ncbi-nuccore	1	1I	1I_J			
FJ687433	ncbi-nuccore	1	1I	1I_J			
FJ687434	ncbi-nuccore	2	2V	2V_E			
FJ687435	ncbi-nuccore	2	2V	2V_E			
FJ687436	ncbi-nuccore	2	2V	2V_E			
FJ687437	ncbi-nuccore	2	2V	2V_A			
FJ687438	ncbi-nuccore	2	2V	2V_A			
FJ687439	ncbi-nuccore	2	2V	2V_A			
FJ687440	ncbi-nuccore	2	2V	2V_A			
FJ687441	ncbi-nuccore	2	2V	2V_A			
FJ687442	ncbi-nuccore	2	2V	2V_A			
FJ687443	ncbi-nuccore	2	2V	2V_A			
FJ687444	ncbi-nuccore	2	2V	2V_E			
FJ687445	ncbi-nuccore	2	2V	2V_E			
FJ687446	ncbi-nuccore	2	2V	2V_E			
FJ687447	ncbi-nuccore	2	2V	2V_A			
FJ687448	ncbi-nuccore	3	3II	3II_A			
FJ744700	ncbi-nuccore	3	3III	3III_C	3III_C1		
FJ744701	ncbi-nuccore	1	1V	1V_F			
FJ744702	ncbi-nuccore	1	1I	1I_E			
FJ744703	ncbi-nuccore	2	2III	2III_D	2III_D1	2III_D1.1	
FJ744704	ncbi-nuccore	2	2III	2III_D	2III_D1		
FJ744705	ncbi-nuccore	2	2III	2III_D	2III_D1	2III_D1.3	
FJ744706	ncbi-nuccore	2	2III	2III_D	2III_D1	2III_D1.1	
FJ744707	ncbi-nuccore	2	2III	2III_D	2III_D1	2III_D1.1	
FJ744708	ncbi-nuccore	2	2III	2III_D	2III_D1	2III_D1.1	
FJ744709	ncbi-nuccore	2	2III	2III_D	2III_D1	2III_D1.1	
FJ744710	ncbi-nuccore	2	2V	2V_A			
FJ744711	ncbi-nuccore	2	2V	2V_A			
FJ744712	ncbi-nuccore	2	2V	2V_A			
FJ744713	ncbi-nuccore	2	2V	2V_A			
FJ744714	ncbi-nuccore	2	2V	2V_A			
FJ744715	ncbi-nuccore	2	2V	2V_A			
FJ744716	ncbi-nuccore	2	2V	2V_A			
FJ744717	ncbi-nuccore	2	2V	2V_A			
FJ744718	ncbi-nuccore	2	2V	2V_A			
FJ744719	ncbi-nuccore	2	2V	2V_E			
FJ744720	ncbi-nuccore	2	2V	2V_E			
FJ744721	ncbi-nuccore	2	2V	2V_E			
FJ744722	ncbi-nuccore	2	2V	2V_E			
FJ744723	ncbi-nuccore	2	2V	2V_E			
